Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs,soup
'32937','KonoSubarashiiSekainiShukufukuwo!2',8.27,StudioDeen,Lightnovel, 'n/a',"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']","['TakahashiRie', 'RieFukushima', 'FukushimaJun', 'JunAmamiya', 'AmamiyaSora', 'SoraKayano', 'KayanoAi', 'AiHorie', 'HorieYui', 'YuiToyosaki', 'ToyosakiAki', 'AkiSuwa', 'SuwaAyaka', 'AyakaNishida', 'NishidaMasakazu', 'MasakazuSuwa', 'SuwaAyaka', 'AyakaNaganawa', 'NaganawaMaria']",KonoSubarashiiSekainiShukufukuwo!2 StudioDeen Lightnovel Adventure Comedy Fantasy Isekai Parody Reincarnation TakahashiRie RieFukushima FukushimaJun JunAmamiya AmamiyaSora SoraKayano KayanoAi AiHorie HorieYui YuiToyosaki ToyosakiAki AkiSuwa SuwaAyaka AyakaNishida NishidaMasakazu MasakazuSuwa SuwaAyaka AyakaNaganawa NaganawaMaria
'33206','Kobayashi-sanChinoMaidDragon',7.99,KyotoAnimation,Manga, 'n/a',"['Fantasy', 'SliceofLife']","['NaganawaMaria', 'MariaKuwahara', 'KuwaharaYuuki', 'YuukiTamura', 'TamuraMutsumi', 'MutsumiTakahashi', 'TakahashiMinami', 'MinamiTakada', 'TakadaYuuki', 'YuukiOno', 'OnoDaisuke', 'DaisukeKatou', 'KatouEmiri', 'EmiriIshihara', 'IshiharaKaori', 'KaoriNakamura', 'NakamuraYuuichi', 'YuuichiGotou', 'GotouYuuko']",Kobayashi-sanChinoMaidDragon KyotoAnimation Manga Fantasy SliceofLife NaganawaMaria MariaKuwahara KuwaharaYuuki YuukiTamura TamuraMutsumi MutsumiTakahashi TakahashiMinami MinamiTakada TakadaYuuki YuukiOno OnoDaisuke DaisukeKatou KatouEmiri EmiriIshihara IshiharaKaori KaoriNakamura NakamuraYuuichi YuuichiGotou GotouYuuko
'32615','YoujoSenki',7.97,Nut,Lightnovel, 'n/a',"['Action', 'Isekai', 'Military', 'Reincarnation']","['YuukiAoi', 'AoiHayami', 'HayamiSaori', 'SaoriOotsuka', 'OotsukaHouchuu', 'HouchuuMiki', 'MikiShinichiro', 'ShinichiroTomatsu', 'TomatsuHaruka', 'HarukaGenda', 'GendaTesshou', 'TesshouTezuka', 'TezukaHideaki', 'HideakiHamano', 'HamanoDaiki', 'DaikiTobita', 'TobitaNobuo', 'NobuoHoriuchi', 'HoriuchiKenyuu']",YoujoSenki Nut Lightnovel Action Isekai Military Reincarnation YuukiAoi AoiHayami HayamiSaori SaoriOotsuka OotsukaHouchuu HouchuuMiki MikiShinichiro ShinichiroTomatsu TomatsuHaruka HarukaGenda GendaTesshou TesshouTezuka TezukaHideaki HideakiHamano HamanoDaiki DaikiTobita TobitaNobuo NobuoHoriuchi HoriuchiKenyuu
'33487','Masamune-kunnoRevenge',6.74,SILVERLINK.,Manga, 'Shounen',"['Comedy', 'Romance', 'Harem', 'School', 'Shounen']","['OhashiAyaka', 'AyakaHanae', 'HanaeNatsuki', 'NatsukiMimori', 'MimoriSuzuko', 'SuzukoMinase', 'MinaseInori', 'InoriHayami', 'HayamiSaori', 'SaoriOgura', 'OguraYui', 'YuiTadokoro', 'TadokoroAzusa', 'AzusaItou', 'ItouKanae', 'KanaeOogame', 'OogameAsuka', 'AsukaIse', 'IseMariya']",Masamune-kunnoRevenge SILVERLINK. Manga Comedy Romance Harem School Shounen OhashiAyaka AyakaHanae HanaeNatsuki NatsukiMimori MimoriSuzuko SuzukoMinase MinaseInori InoriHayami HayamiSaori SaoriOgura OguraYui YuiTadokoro TadokoroAzusa AzusaItou ItouKanae KanaeOogame OogameAsuka AsukaIse IseMariya
'32949','KuzunoHonkai',7.17,Lerche,Manga, 'Seinen',"['Drama', 'Romance', 'School', 'Seinen']","['AnzaiChika', 'ChikaShimazaki', 'ShimazakiNobunaga', 'NobunagaTomatsu', 'TomatsuHaruka', 'HarukaToyosaki', 'ToyosakiAki', 'AkiIzawa', 'IzawaShiori', 'ShioriNojima', 'NojimaKenji', 'KenjiAsanuma', 'AsanumaShintarou', 'ShintarouKobayashi', 'KobayashiYuusuke', 'YuusukeFujii', 'FujiiYukiyo', 'YukiyoKijima', 'KijimaRyuuichi']",KuzunoHonkai Lerche Manga Drama Romance School Seinen AnzaiChika ChikaShimazaki ShimazakiNobunaga NobunagaTomatsu TomatsuHaruka HarukaToyosaki ToyosakiAki AkiIzawa IzawaShiori ShioriNojima NojimaKenji KenjiAsanuma AsanumaShintarou ShintarouKobayashi KobayashiYuusuke YuusukeFujii FujiiYukiyo YukiyoKijima KijimaRyuuichi
'25777','ShingekinoKyojinSeason2',8.5,WitStudio,Manga, 'Shounen',"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']","['KajiYuuki', 'YuukiIshikawa', 'IshikawaYui', 'YuiInoue', 'InoueMarina', 'MarinaKamiya', 'KamiyaHiroshi', 'HiroshiOno', 'OnoDaisuke', 'DaisukePark', 'ParkRomi', 'RomiKobayashi', 'KobayashiYuu', 'YuuHosoya', 'HosoyaYoshimasa', 'YoshimasaTaniyama', 'TaniyamaKishou', 'KishouShimamura', 'ShimamuraYuu']",ShingekinoKyojinSeason2 WitStudio Manga Action Drama Gore Military Survival Shounen KajiYuuki YuukiIshikawa IshikawaYui YuiInoue InoueMarina MarinaKamiya KamiyaHiroshi HiroshiOno OnoDaisuke DaisukePark ParkRomi RomiKobayashi KobayashiYuu YuuHosoya HosoyaYoshimasa YoshimasaTaniyama TaniyamaKishou KishouShimamura ShimamuraYuu
'33486','BokunoHeroAcademia2ndSeason',8.14,Bones,Manga, 'Shounen',"['Action', 'School', 'SuperPower', 'Shounen']","['KajiYuuki', 'YuukiYamashita', 'YamashitaDaiki', 'DaikiOkamoto', 'OkamotoNobuhiko', 'NobuhikoMiyake', 'MiyakeKenta', 'KentaSakura', 'SakuraAyane', 'AyaneIshikawa', 'IshikawaKaito', 'KaitoSuwabe', 'SuwabeJunichi', 'JunichiMasuda', 'MasudaToshiki', 'ToshikiFukuen', 'FukuenMisato', 'MisatoYuuki', 'YuukiAoi']",BokunoHeroAcademia2ndSeason Bones Manga Action School SuperPower Shounen KajiYuuki YuukiYamashita YamashitaDaiki DaikiOkamoto OkamotoNobuhiko NobuhikoMiyake MiyakeKenta KentaSakura SakuraAyane AyaneIshikawa IshikawaKaito KaitoSuwabe SuwabeJunichi JunichiMasuda MasudaToshiki ToshikiFukuen FukuenMisato MisatoYuuki YuukiAoi
'32901','Eromanga-sensei',6.38,A-1Pictures,Lightnovel, 'n/a',"['Comedy', 'Drama', 'Romance', 'Ecchi']","['FujitaAkane', 'AkaneMatsuoka', 'MatsuokaYoshitsugu', 'YoshitsuguHanazawa', 'HanazawaKana', 'KanaTaketatsu', 'TaketatsuAyana', 'AyanaNakamura', 'NakamuraYuuichi', 'YuuichiTakahashi', 'TakahashiMinami', 'MinamiNabatame', 'NabatameHitomi', 'HitomiKido', 'KidoIbuki', 'IbukiOonishi', 'OonishiSaori', 'SaoriIshikawa', 'IshikawaYui']",Eromanga-sensei A-1Pictures Lightnovel Comedy Drama Romance Ecchi FujitaAkane AkaneMatsuoka MatsuokaYoshitsugu YoshitsuguHanazawa HanazawaKana KanaTaketatsu TaketatsuAyana AyanaNakamura NakamuraYuuichi YuuichiTakahashi TakahashiMinami MinamiNabatame NabatameHitomi HitomiKido KidoIbuki IbukiOonishi OonishiSaori SaoriIshikawa IshikawaYui
'32951','RokudenashiMajutsuKoushitoAkashicRecords',7.15,LIDENFILMS,Lightnovel, 'n/a',"['Action', 'Fantasy', 'School']","['FujitaAkane', 'AkaneSaitou', 'SaitouSouma', 'SoumaMiyamoto', 'MiyamotoYume', 'YumeOzawa', 'OzawaAri', 'AriKitamura', 'KitamuraEri', 'EriKotobuki', 'KotobukiMinako', 'MinakoTakahashi', 'TakahashiHiroki', 'HirokiIshikawa', 'IshikawaYui', 'YuiHikasa', 'HikasaYouko', 'YoukoTazawa', 'TazawaMasumi']",RokudenashiMajutsuKoushitoAkashicRecords LIDENFILMS Lightnovel Action Fantasy School FujitaAkane AkaneSaitou SaitouSouma SoumaMiyamoto MiyamotoYume YumeOzawa OzawaAri AriKitamura KitamuraEri EriKotobuki KotobukiMinako MinakoTakahashi TakahashiHiroki HirokiIshikawa IshikawaYui YuiHikasa HikasaYouko YoukoTazawa TazawaMasumi
'34822','TsukigaKirei',8.08,feel.,Original, 'n/a',"['Romance', 'School']","['KoharaKonomi', 'KonomiChiba', 'ChibaShouya', 'ShouyaMurakawa', 'MurakawaRie', 'RieTamaru', 'TamaruAtsushi', 'AtsushiFudemura', 'FudemuraEishin', 'EishinIwanaka', 'IwanakaMutsuki', 'MutsukiChisuga', 'ChisugaHaruka', 'HarukaMaekawa', 'MaekawaRyouko', 'RyoukoShiraishi', 'ShiraishiHaruka', 'HarukaInoue', 'InoueKikuko']",TsukigaKirei feel. Original Romance School KoharaKonomi KonomiChiba ChibaShouya ShouyaMurakawa MurakawaRie RieTamaru TamaruAtsushi AtsushiFudemura FudemuraEishin EishinIwanaka IwanakaMutsuki MutsukiChisuga ChisugaHaruka HarukaMaekawa MaekawaRyouko RyoukoShiraishi ShiraishiHaruka HarukaInoue InoueKikuko
